"zodis","total","singular","singular.num","plural","plural.num"
"and",17261,"",0,"",0
"the",12796,"",0,"",0
"of",12553,"",0,"",0
"to",10027,"",0,"",0
"in",9522,"",0,"",0
"a",8886,"",0,"",0
"as",6364,"",0,"",0
"that",5462,"",0,"",0
"be",4333,"",0,"",0
"is",4257,"",0,"",0
"they",4253,"",0,"",0
"it",4219,"",0,"",0
"his",4122,"",0,"",0
"he",4110,"",0,"",0
"or",3994,"",0,"",0
"all",3331,"",0,"",0
"for",3209,"",0,"",0
"so",3185,"",0,"",0
"are",3135,"",0,"",0
"not",2999,"",0,"",0
"their",2957,"their",2929,"theirs",28
"with",2790,"",0,"",0
"by",2757,"",0,"",0
"which",2715,"",0,"",0
"but",2624,"",0,"",0
"i",2445,"",0,"",0
"this",2186,"",0,"",0
"s",2062,"",0,"",0
"have",1926,"",0,"",0
"&c",1909,"",0,"",0
"them",1898,"",0,"",0
"will",1854,"",0,"",0
"et",1845,"",0,"",0
"such",1823,"",0,"",0
"if",1787,"",0,"",0
"at",1672,"",0,"",0
"many",1664,"",0,"",0
"him",1658,"",0,"",0
"some",1649,"",0,"",0
"was",1611,"",0,"",0
"other",1577,"other",1030,"others",547
"no",1384,"",0,"",0
"an",1359,"",0,"",0
"men",1289,"",0,"",0
"our",1247,"",0,"",0
"from",1232,"",0,"",0
"de",1217,"",0,"",0
"her",1217,"",0,"",0
"man",1179,"",0,"",0
"melancholy",1170,"",0,"",0
"we",1133,"",0,"",0
"one",1125,"",0,"",0
"what",1114,"",0,"",0
"good",1107,"",0,"",0
"much",1084,"",0,"",0
"lib",1081,"",0,"",0
"those",1074,"",0,"",0
"when",1030,"",0,"",0
"more",1000,"",0,"",0
"do",998,"",0,"",0
"may",958,"",0,"",0
"most",952,"",0,"",0
"love",946,"",0,"",0
"cap",924,"",0,"",0
"out",919,"",0,"",0
"saith",882,"",0,"",0
"she",881,"",0,"",0
"than",860,"",0,"",0
"like",840,"",0,"",0
"on",818,"",0,"",0
"had",794,"",0,"",0
"shall",792,"",0,"",0
"hath",745,"",0,"",0
"non",734,"",0,"",0
"how",729,"",0,"",0
"there",714,"",0,"",0
"himself",703,"",0,"",0
"would",693,"",0,"",0
"god",688,"",0,"",0
"themselves",677,"",0,"",0
"can",673,"",0,"",0
"these",673,"",0,"",0
"thou",663,"",0,"",0
"yet",660,"",0,"",0
"were",651,"",0,"",0
"any",640,"",0,"",0
"make",636,"",0,"",0
"my",635,"",0,"",0
"upon",624,"",0,"",0
"well",616,"well",615,"wells",1
"great",593,"",0,"",0
"tis",592,"",0,"",0
"cause",580,"",0,"",0
"us",564,"",0,"",0
"another",563,"",0,"",0
"did",544,"",0,"",0
"old",535,"",0,"",0
"now",523,"",0,"",0
"est",510,"",0,"",0
"see",510,"",0,"",0
"me",503,"",0,"",0
"thing",492,"thing",162,"things",330
"you",491,"",0,"",0
"part",485,"",0,"",0
"should",482,"",0,"",0
"own",474,"",0,"",0
"after",472,"",0,"",0
"still",470,"",0,"",0
"must",452,"",0,"",0
"say",450,"",0,"",0
"every",447,"",0,"",0
"into",446,"",0,"",0
"mind",437,"",0,"",0
"soul",437,"soul",293,"souls",144
"up",433,"",0,"",0
"let",421,"",0,"",0
"first",420,"",0,"",0
"time",419,"",0,"",0
"doth",410,"",0,"",0
"because",402,"",0,"",0
"cannot",400,"",0,"",0
"rest",397,"",0,"",0
"body",395,"",0,"",0
"made",394,"",0,"",0
"said",394,"",0,"",0
"ut",392,"",0,"",0
"come",391,"",0,"",0
"world",387,"",0,"",0
"then",381,"",0,"",0
"though",381,"",0,"",0
"could",379,"",0,"",0
"ad",369,"",0,"",0
"take",364,"",0,"",0
"fair",363,"",0,"",0
"fear",360,"",0,"",0
"life",356,"",0,"",0
"too",350,"",0,"",0
"amongst",349,"",0,"",0
"c",349,"",0,"",0
"thy",348,"",0,"",0
"better",344,"",0,"",0
"qui",342,"",0,"",0
"times",342,"",0,"",0
"means",339,"",0,"",0
"before",338,"",0,"",0
"same",331,"",0,"",0
"without",331,"",0,"",0
"been",328,"",0,"",0
"heart",321,"",0,"",0
"whom",318,"",0,"",0
"again",317,"",0,"",0
"l",317,"",0,"",0
"alone",316,"",0,"",0
"about",315,"",0,"",0
"long",315,"",0,"",0
"never",309,"",0,"",0
"si",307,"",0,"",0
"common",306,"",0,"",0
"use",306,"",0,"",0
"art",303,"",0,"",0
"against",302,"",0,"",0
"wife",300,"",0,"",0
