id	zodis	skaicius
1	&	14
94	107th	1
117	10th	1
119	11°	1
230	11th	1
342	12mo	1
454	13th	1
677	15th	1
763	18th	1
776	19th	1
790	20th	1
804	22°	1
815	22d	1
838	24th	1
872	27th	2
896	29th	1
897	2ae	1
898	2d	2
1034	41st	1
1109	4865heliodorus	1
1124	4a	1
1125	4to	1
1139	51°	1
1238	5th	1
1352	6th	4
1353	6to	1
1522	84th	1
1578	8th	1
1579	8vo	1
1691	a	8886
1692	ab	144
1693	abacturus	1
1694	abaddon	1
1695	abandon	5
1696	abash	1
1697	abashed	11
1698	abate	1
1699	abated	1
1700	abates	1
1701	abateth	1
1702	abaville	1
1703	abbatis	2
1704	abbess	3
1705	abbey	3
1706	abbeys	7
1707	abbot	7
1708	abbots	1
1709	abbreviate	1
1710	abdera	10
1711	abderitae	1
1712	abderitanae	1
1713	abderitanos	1
1714	abderitans	1
1715	abderitanum	1
1716	abderites	6
1717	abderitian	1
1718	abderum	1
1719	abdicate	1
1720	abdicated	2
1721	abdicato	1
1722	abdita	1
1723	abditis	1
1724	abdolominus	2
1725	abdomen	1
1726	abducant	1
1727	abducunt	1
1728	abel	5
1729	abelard	4
1730	aberat	1
1731	aberdeen	1
1732	abernethy	2
1733	aberrarunt	1
1734	abesse	1
1735	abest	6
1736	abesto	1
1737	abeunt	2
1738	abfuerunt	1
1739	abhor	32
1740	abhorreant	1
1741	abhorred	9
1742	abhorrendam	1
1743	abhorrendus	1
1744	abhorrens	1
1745	abhorrent	2
1746	abhorreo	1
1747	abhorrest	5
1748	abhorreth	2
1749	abhorring	2
1750	abhorrui	1
1751	abhors	12
1752	abi	2
1753	abibis	1
1754	abide	33
1755	abides	1
1756	abideth	2
1757	abiding	2
1758	abigail	1
1759	abiis	1
1760	abiit	3
1761	abilities	2
1762	ability	8
1763	abit	1
1764	abite	1
1765	abitura	1
1766	abjecerint	1
1767	abjecit	1
1768	abject	4
1769	abjectae	1
1770	abjectum	1
1771	abjice	1
1772	abjicimus	1
1773	abjure	6
1774	ablabeia	1
1775	able	108
1776	ablegantur	1
1777	ablegare	1
1778	abnuebat	1
1779	aboard	1
1780	abode	3
1781	abolished	1
1782	abominabilem	1
1783	abominable	14
1784	abominanda	1
1785	abominandas	1
1786	abominandum	1
1787	abominantur	1
1788	abominationem	1
1789	abortion	2
1790	abortions	2
1791	abortive	1
1792	abound	8
1793	aboundeth	2
1794	abounding	4
1795	abounds	3
1796	about	315
1797	above	132
1798	abovesaid	1
1799	abradunt	1
1800	abraham	12
1801	abregarunt	1
1802	abridgment	1
1803	abrmcensis	1
1804	abroad	79
1805	abrocomus	1
1806	abrogat	1
1807	abrumpas	1
1808	abruptly	3
1809	abrupto	2
1810	absalom	5
1811	absconderat	1
1812	abscondit	1
1813	absconditam	1
1814	absence	28
1815	absens	1
1816	absent	18
1817	absente	1
1818	absentem	4
1819	absentes	1
1820	absentis	1
1821	absit	7
1822	absoluta	1
1823	absolute	24
1824	absolutely	11
1825	absolutus	1
1826	absolve	1
1827	absolved	2
1828	absolves	1
1829	absolvi	1
1830	absorbentur	1
1831	absorbuit	1
1832	absorptus	1
1833	absque	5
1834	abstain	8
1835	abstained	4
1836	abstaining	3
1837	abstemios	1
1838	abstemious	2
1839	abstemius	2
1840	abstergant	1
1841	absterge	1
1842	abstine	1
1843	abstineant	1
1844	abstinence	2
1845	abstinentes	2
1846	abstinentia	1
1847	abstinentiam	1
1848	abstinere	2
1849	abstinerent	1
1850	abstinet	1
1851	abstinete	1
1852	abstinuisse	1
1853	abstinuit	1
1854	abstract	4
1855	abstracting	1
1856	abstractions	1
1857	abstracts	1
1858	abstruse	1
1859	abstulisti	1
1860	abstulistis	1
1861	abstulit	2
1862	absum	1
1863	absumant	2
1864	absumat	1
1865	absumit	1
1866	absunt	1
1867	absurd	73
1868	absurda	1
1869	absurdas	1
1870	absurder	1
1871	absurdiora	1
1872	absurdis	1
1873	absurditatem	1
